timestamp,theta_pot,button_state,theta_pot_rad,wUser_,tau_ext
1764928374.3207006,80.59,1.0,1.41,0.0,0.0
1764928374.3212128,80.59,1.0,1.41,0.0,0.0
1764928374.5649471,80.59,1.0,1.41,0.0,0.0
1764928374.5652618,80.85,1.0,1.41,0.0,0.0
1764928374.7528262,80.59,1.0,1.41,0.0,0.0
1764928374.7530484,80.59,1.0,1.41,0.0,0.0
1764928374.93883,80.59,1.0,1.41,0.0,0.0
1764928374.9390118,80.59,1.0,1.41,0.0,0.0
1764928375.1694078,80.85,1.0,1.41,0.0,0.0
1764928375.1695805,80.85,1.0,1.41,0.0,0.0
1764928375.3471956,80.59,1.0,1.41,0.0,0.0
1764928375.3476293,80.59,1.0,1.41,0.0,0.0
1764928375.5744417,80.59,1.0,1.41,0.0,0.0
1764928375.574755,80.85,1.0,1.41,0.0,0.0
1764928375.7527084,80.59,1.0,1.41,0.0,0.0
1764928375.7531676,80.85,1.0,1.41,0.0,0.0
1764928375.9394684,80.59,1.0,1.41,0.0,0.0
1764928375.9399786,80.59,1.0,1.41,0.0,0.0
1764928376.161807,80.85,1.0,1.41,0.0,0.0
1764928376.1624525,80.59,1.0,1.41,0.0,0.0
1764928376.3916984,80.59,1.0,1.41,0.0,0.0
1764928376.3925548,80.85,1.0,1.41,0.0,0.0
1764928376.578109,80.85,1.0,1.41,0.0,0.0
1764928376.5786486,80.59,1.0,1.41,0.0,0.0
1764928376.7516935,80.59,1.0,1.41,0.0,0.0
1764928376.7522786,80.85,1.0,1.41,0.0,0.0
1764928377.0026655,80.59,1.0,1.41,0.0,0.0
1764928377.003297,80.85,1.0,1.41,0.0,0.0
1764928377.191985,80.59,1.0,1.41,0.0,0.0
1764928377.1924627,80.59,1.0,1.41,0.0,0.0
1764928377.1928694,80.59,1.0,1.41,0.0,0.0
1764928377.3805747,80.59,1.0,1.41,0.0,0.0
1764928377.3813324,80.85,1.0,1.41,0.0,0.0
1764928377.570507,80.59,1.0,1.41,0.0,0.0
1764928377.571086,80.85,1.0,1.41,0.0,0.0
1764928377.8236506,80.59,1.0,1.41,0.0,0.0
1764928377.8241243,80.85,1.0,1.41,0.0,0.0
1764928378.0098174,80.85,1.0,1.41,0.0,0.0
1764928378.0099766,80.59,1.0,1.41,0.0,0.0
1764928378.1995695,80.85,1.0,1.41,0.0,0.0
1764928378.2002566,80.59,1.0,1.41,0.0,0.0
1764928378.386942,80.85,1.0,1.41,0.0,0.0
1764928378.3874066,80.85,1.0,1.41,0.0,0.0
1764928378.6393552,80.85,1.0,1.41,0.0,0.0
1764928378.6397974,80.59,1.0,1.41,0.0,0.0
1764928378.8264596,80.59,1.0,1.41,0.0,0.0
1764928378.827119,80.59,1.0,1.41,0.0,0.0
1764928379.0153825,80.85,1.0,1.41,0.0,0.0
1764928379.0155444,80.59,1.0,1.41,0.0,0.0
1764928379.2686508,80.85,1.0,1.41,0.0,0.0
1764928379.269029,80.85,1.0,1.41,0.0,0.0
1764928379.4571183,80.85,1.0,1.41,0.0,0.0
1764928379.4580398,80.59,1.0,1.41,0.0,0.0
1764928379.645548,80.59,1.0,1.41,0.0,0.0
1764928379.646471,80.85,1.0,1.41,0.0,0.0
1764928379.8359704,80.85,1.0,1.41,0.0,0.0
1764928379.837175,80.85,1.0,1.41,0.0,0.0
1764928380.0233057,80.85,1.0,1.41,0.0,0.0
1764928380.0244133,80.59,1.0,1.41,0.0,0.0
1764928380.2721055,80.59,1.0,1.41,0.0,0.0
1764928380.2728791,80.85,1.0,1.41,0.0,0.0
1764928380.5025947,80.59,1.0,1.41,0.0,0.0
1764928380.5028596,80.59,1.0,1.41,0.0,0.0
1764928380.6899357,80.59,1.0,1.41,0.0,0.0
1764928380.690586,80.59,1.0,1.41,0.0,0.0
1764928380.8773944,80.59,1.0,1.41,0.0,0.0
1764928380.87789,80.59,1.0,1.41,0.0,0.0
1764928381.0693069,80.59,1.0,1.41,0.0,0.0
1764928381.0706458,80.59,1.0,1.41,0.0,0.0
1764928381.2558126,80.59,1.0,1.41,0.0,0.0
1764928381.2570374,80.59,1.0,1.41,0.0,0.0
1764928381.5080104,80.59,1.0,1.41,0.0,0.0
1764928381.5087998,80.59,1.0,1.41,0.0,0.0
1764928381.6929612,80.59,1.0,1.41,0.0,0.0
1764928381.6940944,80.59,1.0,1.41,0.0,0.0
1764928381.8801327,80.59,1.0,1.41,0.0,0.0
1764928381.8806207,80.59,1.0,1.41,0.0,0.0
1764928381.8812869,80.59,1.0,1.41,0.0,0.0
1764928382.128836,80.59,1.0,1.41,0.0,0.0
1764928382.1290302,80.59,1.0,1.41,0.0,0.0
1764928382.3146527,80.85,1.0,1.41,0.0,0.0
1764928382.3149443,80.85,1.0,1.41,0.0,0.0
1764928382.5008378,80.59,1.0,1.41,0.0,0.0
1764928382.5013585,80.59,1.0,1.41,0.0,0.0
1764928382.7487435,80.85,1.0,1.41,0.0,0.0
1764928382.7497323,80.59,1.0,1.41,0.0,0.0
1764928382.9388893,80.59,1.0,1.41,0.0,0.0
1764928382.9395208,80.85,1.0,1.41,0.0,0.0
1764928383.1265192,80.85,1.0,1.41,0.0,0.0
1764928383.127279,80.59,1.0,1.41,0.0,0.0
1764928383.3129408,80.59,1.0,1.41,0.0,0.0
1764928383.3131776,80.59,1.0,1.41,0.0,0.0
1764928383.4987025,80.85,1.0,1.41,0.0,0.0
1764928383.4988694,80.85,1.0,1.41,0.0,0.0
1764928383.7498078,80.85,1.0,1.41,0.0,0.0
1764928383.7504997,80.85,1.0,1.41,0.0,0.0
1764928383.9363127,80.85,1.0,1.41,0.0,0.0
1764928383.9371543,80.59,1.0,1.41,0.0,0.0
1764928384.1239164,80.59,1.0,1.41,0.0,0.0
1764928384.124728,80.59,1.0,1.41,0.0,0.0
1764928384.3746161,80.85,1.0,1.41,0.0,0.0
1764928384.375369,80.59,1.0,1.41,0.0,0.0
1764928384.5507123,80.59,1.0,1.41,0.0,0.0
1764928384.5512807,80.59,1.0,1.41,0.0,0.0
1764928384.7346153,80.85,1.0,1.41,0.0,0.0
